timestamp,cpu_usage,memory_usage,disk_io,network_latency,failure_cause
2025-07-14 12:45:21,64.85,96.41,227.72,54.36,None
2025-07-14 12:40:21,38.08,77.34,230.87,93.58,None
2025-07-14 12:35:21,24.55,77.52,48.54,56.61,None
2025-07-14 12:30:21,46.35,61.77,87.72,46.11,None
2025-07-14 12:25:21,69.71,39.21,232.18,50.44,None
2025-07-14 12:20:21,59.25,49.71,196.04,42.46,None
2025-07-14 12:15:21,27.58,100.0,118.14,57.35,None
2025-07-14 12:10:21,73.23,91.41,158.86,30.67,None
2025-07-14 12:05:21,43.87,54.75,212.15,46.81,None
2025-07-14 12:00:21,41.86,95.01,171.79,60.06,Memory Issue
2025-07-14 11:55:21,51.9,69.93,109.93,71.76,None
2025-07-14 11:50:21,45.58,37.93,252.51,45.44,None
2025-07-14 11:45:21,37.66,59.12,214.57,178.93,Network Delay
2025-07-14 11:40:21,85.81,51.81,204.13,68.8,None
2025-07-14 11:35:21,17.06,44.68,211.69,67.75,None
2025-07-14 11:30:21,80.28,65.17,170.15,27.09,None
2025-07-14 11:25:21,48.28,32.28,203.11,58.61,None
2025-07-14 11:20:21,34.04,98.12,63.72,81.2,Memory Issue
2025-07-14 11:15:21,53.27,76.12,159.96,56.44,None
2025-07-14 11:10:21,45.45,46.34,290.53,13.43,None
2025-07-14 11:05:21,50.87,84.1,164.13,64.64,None
2025-07-14 11:00:21,98.25,31.62,194.84,53.18,CPU Overload
2025-07-14 10:55:21,39.68,79.34,197.15,79.4,None
2025-07-14 10:50:21,56.99,56.15,142.07,146.13,Network Delay
2025-07-14 10:45:21,56.15,29.45,150.44,45.93,None
2025-07-14 10:40:21,49.15,41.21,247.17,40.61,None
2025-07-14 10:35:21,99.67,54.18,198.4,48.99,CPU Overload
2025-07-14 10:30:21,77.94,46.58,148.18,30.14,None
2025-07-14 10:25:21,53.5,79.35,180.05,56.11,None
2025-07-14 10:20:21,54.77,50.32,204.15,44.51,None
2025-07-14 10:15:21,44.65,36.2,267.92,8.2,None
2025-07-14 10:10:21,18.31,62.0,149.11,77.69,None
2025-07-14 10:05:21,55.31,67.5,179.44,58.12,None
2025-07-14 10:00:21,75.21,27.06,250.28,44.52,None
2025-07-14 09:55:21,50.66,50.96,283.09,34.93,None
2025-07-14 09:50:21,61.49,77.79,169.51,57.03,None
2025-07-14 09:45:21,64.81,82.64,203.54,28.86,None
2025-07-14 09:40:21,43.84,46.9,173.87,47.49,None
2025-07-14 09:35:21,78.03,52.18,111.27,33.37,None
2025-07-14 09:30:21,64.34,56.86,135.61,28.38,None
2025-07-14 09:25:21,69.31,38.82,236.32,30.83,None
2025-07-14 09:20:21,54.71,64.87,225.37,48.4,None
2025-07-14 09:15:21,50.87,71.54,191.42,62.37,None
2025-07-14 09:10:21,66.57,67.0,260.73,23.44,None
2025-07-14 09:05:21,47.85,94.23,177.83,15.21,Memory Issue
2025-07-14 09:00:21,99.7,79.28,226.36,24.76,CPU Overload
2025-07-14 08:55:21,73.41,95.36,195.37,85.46,None
2025-07-14 08:50:21,58.63,78.51,238.54,26.76,None
